Parent Culture,Base Medium,Container ID (calculated),Container Type,Control?,Culture Type,Experiment,Feed Medium #1,Reactor/Plate/Flask Number,Replicate #,Seed,Strain Batch,Initial Culture VolumeNone,Culture Volume Unit,Temperature Setpoint (C),pH Setpoint,pH Control Base Solution,Aeration Gas Type
DDB_PD_131_AMBR_DDB35-006_R05_Main_,DDB_BM_016,R05,AMBR 250,No,Main,DDB_PD_131_AMBR,DDB_FM_016,R05,1,DDB_PD_131_AMBR_DDB35-006_R17_Pre-Final_,DDB35-006,100,mL,30,6.5,Ammonium hydroxide 8%,Air
DDB_PD_131_AMBR_DDB35-006_R06_Main_,DDB_BM_016,R06,AMBR 250,No,Main,DDB_PD_131_AMBR,DDB_FM_016,R06,2,DDB_PD_131_AMBR_DDB35-006_R17_Pre-Final_,DDB35-006,100,mL,30,6.5,Ammonium hydroxide 8%,
DDB_PD_131_AMBR_DDB35-006_R07_Main_,DDB_BM_016,R07,AMBR 250,No,Main,DDB_PD_131_AMBR,DDB_FM_016,R07,3,DDB_PD_131_AMBR_DDB35-006_R17_Pre-Final_,DDB35-006,100,mL,30,6.5,Ammonium hydroxide 8%,
DDB_PD_131_AMBR_DDB35-006_R08_Main_,DDB_BM_016,R08,AMBR 250,No,Main,DDB_PD_131_AMBR,DDB_FM_016,R08,1,DDB_PD_131_AMBR_DDB35-006_R17_Pre-Final_,DDB35-006,100,mL,30,6.5,Ammonium hydroxide 8%,
DDB_PD_131_AMBR_DDB35-006_R09_Main_,DDB_BM_016,R09,AMBR 250,No,Main,DDB_PD_131_AMBR,DDB_FM_016,R09,2,DDB_PD_131_AMBR_DDB35-006_R17_Pre-Final_,DDB35-006,100,mL,30,6.5,Ammonium hydroxide 8%,
DDB_PD_131_AMBR_DDB35-006_R10_Main_,DDB_BM_016,R10,AMBR 250,No,Main,DDB_PD_131_AMBR,DDB_FM_016,R10,3,DDB_PD_131_AMBR_DDB35-006_R17_Pre-Final_,DDB35-006,100,mL,30,6.5,Ammonium hydroxide 8%,
DDB_PD_131_AMBR_DDB35-006_R11_Main_,DDB_BM_016,R11,AMBR 250,No,Main,DDB_PD_131_AMBR,DDB_FM_016,R11,1,DDB_PD_131_AMBR_DDB35-006_R17_Pre-Final_,DDB35-006,100,mL,30,6.5,Ammonium hydroxide 8%,
DDB_PD_131_AMBR_DDB35-006_R12_Main_,DDB_BM_016,R12,AMBR 250,No,Main,DDB_PD_131_AMBR,DDB_FM_016,R12,2,DDB_PD_131_AMBR_DDB35-006_R17_Pre-Final_,DDB35-006,100,mL,30,6.5,Ammonium hydroxide 8%,
DDB_PD_131_AMBR_DDB35-006_R13_Main_,DDB_BM_016,R13,AMBR 250,No,Main,DDB_PD_131_AMBR,DDB_FM_016,R13,3,DDB_PD_131_AMBR_DDB35-006_R17_Pre-Final_,DDB35-006,100,mL,30,6.5,Ammonium hydroxide 8%,
DDB_PD_131_AMBR_DDB35-006_R14_Main_,DDB_BM_016,R14,AMBR 250,No,Main,DDB_PD_131_AMBR,DDB_FM_016,R14,1,DDB_PD_131_AMBR_DDB35-006_R17_Pre-Final_,DDB35-006,100,mL,30,6.5,Ammonium hydroxide 8%,
DDB_PD_131_AMBR_DDB35-006_R15_Main_,DDB_BM_016,R15,AMBR 250,No,Main,DDB_PD_131_AMBR,DDB_FM_016,R15,2,DDB_PD_131_AMBR_DDB35-006_R17_Pre-Final_,DDB35-006,100,mL,30,6.5,Ammonium hydroxide 8%,
DDB_PD_131_AMBR_DDB35-006_R16_Main_,DDB_BM_016,R16,AMBR 250,No,Main,DDB_PD_131_AMBR,DDB_FM_016,R16,3,DDB_PD_131_AMBR_DDB35-006_R17_Pre-Final_,DDB35-006,100,mL,30,6.5,Ammonium hydroxide 8%,
